tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780741441,813292000,2312,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741441,909049000,2314,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,12578000,2316,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,109293000,2318,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,211201000,2320,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,312417000,2322,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,409844000,2324,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,512073000,2326,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,608959000,2328,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,709132000,2333,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,810175000,2335,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741442,911066000,2339,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,9063000,2341,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,108665000,2343,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,231220000,2345,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,312929000,2347,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,817793000,2401,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,817822000,2404,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,817839000,2406,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,817854000,2408,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741443,817888000,2410,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,11555000,2413,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,11599000,2417,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,158744000,2419,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,215607000,2421,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,309428000,2423,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,409453000,2426,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,508975000,2437,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,612788000,2439,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,708997000,2447,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,808744000,2449,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741444,909377000,2451,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741445,8714000,2453,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
1780741445,111242000,2455,1,U,N,6068999000000,6068998000000,6068997000000,6068991000000,6068990000000,274541000,54000,17000,18000,18000,6066235000000,6066236000000,6066237000000,6066256000000,6066330000000,130000,17000,17000,18000,9000
